input,target
Müzakereler nasıl gidiyor?,Görüşmeler nasıl gidiyor?
Bugün ne yapalım?,Bugün ne yaptın?
Sizin düşmanınız kim?,Senin düşmanın kim?
Sizi biraz rahatsız edebilir miyim?,Sizi bir süre rahatsız edebilir miyim?
Çay alır mısınız?,Bir fincan çay ister misiniz?
Buna ne için ihtiyacınız var?,Onu ne için istiyorsun?
O gerçekten can sıkıyor muydu?,Ben gerçekten sıkıcı mıydım?
Kafana yattı mı?,Aklına yattı mı?
Bu cep telefonu sana mı ait?,Telefon size mi ait?
Onlara ne söylemem gerekirdi?,Onlara ne söyleyeceğim?
"Sorun nedir, Tom?",Nerelerdeydin Tom?
Nasıl bunun üstesinden geleceksin?,Onunla nasıl baş edeceksin?
Şimdiye kadar kaç tane kitap okuduğunuzu düşünüyorsunuz?,Şu ana kadar sizce kaç kitap okudunuz?
Neden beni geri aramadın?,Beni neden geri aramadı?
Tom sana ne dedi?,Tom sana ne anlattı?
Akşam yemeği saat kaçta?,Kahvaltı ne zaman servis ediliyor?
Tom'un umrunda mı sanıyorsun?,Tom'un umursadığını düşünüyor musun?
Oğlum nerede?,Erkek kardeşim nerede?
Beni güzel buluyor musun?,Sizce ben güzel miyim?
Hepiniz odanızı temizlediniz mi?,Odanızı temizlemeyi henüz bitirdiniz mi?
Neden bunu yapmam gerekiyor?,Neden bunu yapardım?
Neden gelmedin?,Nasıl oldu da gelmedin?
Ne zaman döndün?,Saat kaçta geliyorsunuz?
Ne zaman varırsın?,Ne zaman gittin?
Hatırladınız mı?,Beni hâlâ tanıyor musun?
Bir sinema bileti kaç para?,Bir sinema bileti kaça mal olur?
Ne zaman ayrılıyorsun?,Eve ne zaman geleceksin?
Tom ne oldu?,Tom ile anlaşma nedir?
Saat kaçta gidiyoruz?,Ne zaman geri dönmesi bekleniliyor?
Ne tür müzik seversin?,Ne tür müzik dinlemeyi seversin?
Bu sabah kahvaltı yaptın mı?,Sabah kahvaltını bitirdin mi?
Eve ne zaman geliyorsun?,Ne zaman eve gideceksin?
Benimle konuşuyor musun?,Bana mı gönderme yapıyorsun?
Tom yaralandı mı?,Tom incindi mi?
İyi bir hafta sonu geçirdin mi?,Hafta sonun iyi geçti mi?
Nasıl piyano çalacağını sana kim öğretti?,Sana piyano çalmayı kim öğretti?
Acıkmadınız mı?,Siz çocuklar aç değil misiniz?
Bilmem gereken başka bir şey var mı?,Başka bir şey bilmem gerekiyor mu?
İstasyona nasıl gidebilirim?,Tren istasyonuna nasıl ulaşabilirim?
Sen onun ne söylediğini yakaladın mı?,Onun ne söylemek istediğini anladın mı?
Evde değil misiniz?,Evde misiniz?
Son zamanlarda hiç film seyrettin mi?,Son zamanlarda herhangi bir film gördünüz mü?
Penguenler Kuzey Kutbu'nda mı yaşar?,Kuzey kutbunda yaşayan penguenler var mı?
Ne zaman gelirsin?,Ne zaman ayrılıyorsun?
Kararını verebildin mi?,Karar verdin mi?
Menüyü ve şarap listesini alabilir miyim?,Menü ve şarap listesini görebilir miyim?
Devam eder misin?,Yürümeye devam edebilir misin?
Tom benden ne istiyor?,Tom ne yapmamı istiyor?
Ne zaman eve gidiyorsun?,"O, tekrar ne zaman eve gelecek?"
Gerçekten istediğin bu mu?,Gerçekten bunu istiyor mu?
Bir fincan çay daha ister misin?,Bir fincan çay içer misin?
Nereden başlarız?,O ne zaman varır?
Senin avukatının adı ne?,Avukatının ismi ne?
Bir fincan daha çay içmek ister misiniz?,Bir fincan daha çay ister misin?
Uçağı saat kaçta?,Uçağın saat kaçta kalkacak?
Nerede yaşamak istersiniz?,Nerede yaşamak istersin?
Bu civarda bir postane var mıdır?,Buraya yakın bir postane var mı?
Onun ne söylemek istediğini anladın mı?,Onun dediğini anladın mı?
"Kim, Hu Jintao'nun doğum gününü biliyor?",Hu Jintao'nun doğduğu günü kim biliyor?
Bu gözlükler ne kadardı?,Bu gözlükler kaç paraydı?
Saat kaçta yola çıkıyorsun?,Ne zaman ulaşırsın?
Mary John'un birlikte yaşadığı otobüs şoförüne bitişikte mi yaşıyor?,Mary John'la çalışmış olan otobüs şoförünün yan dairesinde mi oturuyor?
Bunun kimin arabası olduğunu biliyor musun?,"Bu kimin arabası, biliyor musun?"
Cüzdanımı kim buldu?,Kim benim cüzdanımı buldu?
Kaç defa sana söylemeliyim?,Kaç sefer sana söylemeliyim?
Bu gece nerede yiyoruz?,Bu akşam nerede yemek yiyeceğiz?
"O, ne zaman geri geliyor?",Ne zaman gelirsin?
Bana bir fincan kahve verir misin?,Kahve içer misin?
Ben bu odayı özgürce kullanabilir miyim?,Bu odayı beleşe kullanabilir miyim?
Bir resminizi çekebilir miyim?,Resmini çekebilir miyim?
O korktuğun şey mi?,Bundan korkuyor musun?
Neden yorgun değilsiniz?,Neden yorgun değilsin?
Müdür kim?,Kimin borusu ötüyor?
Bu çorbayı nasıl yapıyorsun?,Bu çorbayı nasıl yaptın?
Tom'un orada olacağından emin misin?,Tom'un oraya gideceğinden emin misin?
Hangisini tercih edersiniz?,Hangisini seviyorsun?
Hâlâ uykulu musun?,Uyumak mı istiyorsun?
Ne söylememi bekliyordun?,"Peki, ne demem gerekiyordu?"
Sence Tom hâlâ sokaklarda mı yaşıyordur?,Tom hâlâ evsiz midir sence?
"Eğer, herhangi bir sebepten dolayı, bu gerçekleşseydi, ne yapardın?",Eğer o olursa ne yaparsın?
Ne zaman geri döndü?,Ne zaman ulaşırsın?
Siz onun annesi misiniz?,Sen onun annesi misin?
Onlar bir bardak çay ister mi?,Çay içer misin?
Bu koltuk boş mu?,Bu yer boş mu?
On sekiz yaşın üstünde değil misin?,Sen on sekiz yaşın üzerinde değil misin?
Neden biraz mola almıyorsun?,Dinlenelim mi?
Pazar için planlarınız neler?,Pazar için planların neler?
O henüz burada mı?,O geldi mi?
Onun aklında ne olduğunu anladın mı?,Onun anlattığını anlıyor musun?
Birbirinizi nasıl tanıdınız?,Birbirinizle nerede buluştunuz?
Ne zaman çıkacaksın?,Ne zaman geri geliyor olacaksınız?
Pencereyi açar mısınız?,Pencere açabilir misiniz?
Onun hangisini seçtiğini düşünüyorsun?,Sizce o hangisini seçti?
Bu gece sinemaya gidiyor musun?,Bu gece tiyatroya gidiyor musun?
Sence Tom yalan mı söyledi?,Tom'un yalan söylediğini mi düşünüyorsun?
Işığı kapatmamın bir sakıncası var mı?,Ben lambayı söndürebilir miyim?
Ne zaman eve gidiyorsun?,Ne zaman döneceksiniz?
Kim eksik?,Kimler yok?
Tom'u dövdün mü?,Tom'u yendin mi?
Şu anda sipariş vermeye hazır mısınız?,Daha seçtin mi?
Allah aşkına sen kim olduğunu sanıyorsun?,"O, onun kim olduğunu düşünüyor?"
Hangi şehirdesiniz?,Hangi kasabadasınız?
Sen nereye gideceğini nasıl biliyorsun?,Nereye gideceğini nereden biliyorsun?
Ne zaman çıkacaksın?,Ne zaman ayrılıyorsun?
En sevdiğiniz hangisi?,Hangisini seviyorsun?
"O, Çinli mi?",Sen Çinli misin?
Her gün koşmaya gider misin?,Her gün koşar mısınız?
Hâlâ burada mısın?,O hâlâ burada mı?
Bisikletiniz var mı?,Motosikletin var mı?
Tom'u neden önemsiyorsun?,Tom'a neden kafanı takıyorsun?
Yoruluyor musun?,Yorulmaya başlıyor musun?
O şimdi kaç yaşında?,O şu anda kaç yaşında?
Çocuklarım nerede?,Oğlanlar nerede?
Onun ne hakkında olduğunu hatırlıyor musun?,Onun ne olduğunu hatırlıyor musun?
Neden bunu yapmıyoruz?,Neden onu yapmıyoruz?
Sence Tom mutsuz mu?,Tom'un mutsuz olduğunu düşünüyor musun?
Uyumak ister misin?,Uyumak mı istiyorsun?
Demiryolu istasyonu nerede?,İstasyon nerede?
Boston'da ne kadar kalmayı planlıyorsun?,Boston'da ne kadar kalmak istiyorsun?
Ne zaman geri geliyor olacaksınız?,Ne zaman yolculuğa çıkıyorsun?
Herkes nereye kayboldu?,Bütün insanlar nereye gitti?
Aile adınızı nasıl hecelersiniz?,Soyadını nasıl yazarsın?
Neden çok yoğunsun?,Niçin acele ediyorsun?
Kredi kartı kabul ediyor musunuz?,Kredi kartımı kullanabilir miyim?
Ne zaman gelirsin?,Ne zaman gideceksin?
Saat kaçta yola çıkıyorsun?,O saat kaçta başlar?
Saat kaçta geliyorsun?,Ne zaman geri geleceksin?
Saat kaçta çıkıyoruz?,Saat kaçta geliyorsunuz?
Tom ve Mary'nin ikisi de onu yapıyor mu?,Hem Tom hem de Mary onu yapıyor mu?
Fransızca öğrenmeye ne zaman başladın?,Ne zaman Fransızca öğrenmeye başladın?
"Mary, uygun musun?","Mary, müsait misin?"
Babamı görüyor musunuz?,Babamı görebiliyor musun?
Burada mı çalışıyorlar?,Onlar burada mı çalışıyor?
Baban ne iş yapıyor?,Baban ne iş yapar?
Yarın için planlarınız neler?,Yarın için programın nedir?
Ne zaman gideriz?,"O, tekrar ne zaman eve gelecek?"
Bu Tom mu?,"O sen misin, Tom?"
Sürücü belgen var mı?,Sürücü belgen yok mu?
Ne zaman eve gideceksin?,Saat kaçta eve gidersin?
O çok tuzlu mu?,Hiç tuz kaldı mı?
Eşin nasıl?,Karın nasıl?
Bugün ne yapıyorsun?,Bugün ne yaptın?
Çantanızdaki nedir?,Çantanızda neyiniz var?
Biraz daha çay içmemin bir sakıncası var mı?,Biraz daha çay içebilir miyim?
Size güvenebilir miyiz?,Güvenilir misin?
"O, Tom'a mı ait?",O Tom'dan mı?
Sen uzakta iken köpeğe kim baktı?,Sen uzaktayken köpeğe kim baktı?
Burada kim sorumlu?,Burada patron kim?
Tom'un delirmiş olduğunu düşünüyor musun?,Sence Tom deli mi?
Tom onu ne için istiyor?,Niçin Tom'un buna ihtiyacı var?
Saat kaçta çıkıyoruz?,Ne zaman ulaşırsın?
Kimin sözü geçiyor?,Yönetici kimdir?
Sahneleme ne zaman başlıyor?,Gösteri ne zaman başlar?
Bir ipucu verebilir misin en azından?,En azından bir ipucu veremez misin?
Tom'u nasıl tanıyorsun?,Tom'u nereden tanıyorsunuz?
Eve ne zaman geri döneceksin?,"O, tekrar ne zaman eve gelecek?"
Sen de mi gidiyorsun?,Sen de gidiyor olacak mısın?
İşlerini bitirdin mi?,Ödevini bitirdin mi?
Kim olduğumu hatırlıyor musun?,Beni hatırlıyor musunuz?
Oraya gitmek için en iyi yol hangisi?,Orada gitmenin en iyi yolu nedir?
Birbirinizle tanıştınız mı?,Önceden birbirinizle tanıştınız mı?
Ne düşündüğümüzü neden bilmek istiyorsun?,Ne düşündüğümüzü niçin bilmek istiyorsun?
Biz nasıl başlarız?,Eve ne zaman geri döneceksin?
İngiliz misin?,İngiliz misiniz?
Işıkları açarsam sorun olur mu?,Işıkları açabilir miyim?
Ben nereye başlarım?,Nerede başlayalım?
Sizi arayabilir miyim?,Seni arayabilir miyim?
Bu senin için kafa karıştırıcı mı?,Bu kafa karıştırıcı mı?
Daha iyi bir planın var mı?,Daha iyi bir planınız var mı?
Onun ne olduğunu bana söyleyebilir misiniz?,Sen bana ne meydana geldiğini anlatabilir misin?
Doğal bir sarışın mısın?,Sen doğal olarak sarışın mısın?
Tom'a ne oldu?,Tom ile anlaşma nedir?
Bu hangi aydır?,Hangi aydayız?
Ne zaman geri geleceksin?,Ne zaman yolculuğa çıkıyorsun?
Bir bardak çaya ne dersiniz?,Kahve içer misiniz?
Neyle başlayayım?,Nereden başlıyoruz?
Biraz çaya ne dersin?,Bir fincan çay isteyen biri var mı?
Kitabı bu çocuklardan hangisine vereceksin?,Bu iki çocuktan hangisine o kitabı hediye edeceksin?
Hangisiyle başlayayım?,Saat kaçta geliyorsun?
Eve kadar size eşlik edebilir miyim?,Eve kadar sana eşlik edebilir miyim?
"Bu doğru olsaydı, ne yapardınız?","Doğru olsa, ne yaparsın?"
Benim karım olur musun?,Evlenmek mi istiyorsun?
Portakallar ne kadar?,Portakal ne kadar?
Hangisiyle başlayayım?,Ne zaman gelirsin?
Ne zaman yola çıkacağız?,Ne zaman eve gidecek?
Bir tanrıya inanıyor musun?,Herhangi bir dine inanıyor musun?
Bugün ne yapmak istiyorsun?,Bugün ne yapacaksınız?
Ne zaman ayrılıyorsunuz?,Hareket saati nedir?
Nerede başlayalım?,Ben nereye başlarım?
Bu soğukta dışarıda ne yapıyorsun?,Bu soğukta burada ne arıyorsun?
Kaç yaşında evlenmek istiyorsunuz?,Hangi yaşta evlenmek istiyorsunuz?
Benden hoşlanıyor mu?,Beni sever mi?
Bu pastadan bir parça yememin bir sakıncası var mı?,Bu turtadan bir parça yiyebilir miyim?
Adresiniz nedir?,Bir adresin var mı?
New York nasıl buluyorsun?,New York'u sever misin?
Nerede başlarım?,Saat kaçta ayrılacaksın?
Ne zaman çıkacaksın?,Ne zaman geleceksin?
Bir bardak çaya ne dersiniz?,Onlar bir bardak çay ister mi?
Eve ne zaman döneceksin?,Nerede başlayalım?
Onu ne zaman gördün?,Onunla ne zaman tanıştın?
Nerede başlayalım?,Ne zaman gittin?
"O, tekrar ne zaman eve gelecek?",Ne zaman başlatırız?
Ne zaman geri dönüyorsun?,Ne zaman yola çıkacağız?
Birisinin ambulans çağırması gerekir mi?,Senin bir ambulans çağırman gerekir mi?
Bu sonuca nasıl vardın?,Neden bunu düşünmelisin?
Onlar bir şeyden korkuyorlar mı?,Onlar bir şeyden mi korkuyorlar?
Nereden başlamalıyım?,Se ne zaman gidiyorsun?
Favori aktör ve aktristiniz kimdir?,En sevdiğin oyuncu kim?
Sen bunu topladın mı?,Şu anda sipariş vermeye hazır mısınız?
Pazar günleri çalışır mısın?,Pazar günü çalışman mı gerekiyor?
Bu turtayı kim yaptı?,Bu keki kim pişirdi?
Gitarın yanında mı?,Yanında gitarın var mı?
Bu nadir bir sorun mudur?,Bu ender bir problem midir?
Bu ne eğlenceli?,Neden herkes gülüyor?
Beni eleştiriyor musun?,Benimle flört ediyor musun?
"Bu, Tom'unki mi?",O senin mi?
Benden hoşlanıyor mu?,O benden hoşlanıyor mu?
Arkadaşların nasıl?,Ya ailenden ne haber?
Neden Türkiye'ye gitmek istiyorsunuz?,Neden Türkiye'ye gitmek istiyorsun?
Borcum nedir?,Ne borçluyum?
Dün gelmeni engelleyen neydi?,Senin dün buraya gelmeni ne engelledi?
Tom sana bir şey anlatmadı mı?,Tom sana bir şey söylemedi mi?
Hareket saati nedir?,Ne zaman döneceksiniz?
Polise nasıl giderim?,Polis karakoluna nasıl gidebilirim?
Ne zaman eve gideceksin?,O ne zaman gelir?
Ne zaman gidiyoruz?,Bu ne zaman varacak?
Neden bana inanmıyorsun?,Neden bana güvenmiyorsun?
Bu mektubun İngilizce yazılması gerekiyor mu?,Bu mektup İngilizce mi yazılmalı?
Uzaylılar var mı?,Uzaylılar gerçek mi?
Uyumak mı istiyorsun?,Şu anda yorgun musun?
Biraz kahve alır mısın?,Hepiniz birer bardak daha çay ister misiniz?
Bu yer hâlâ boş mu?,"Afedersiniz, burası dolu mu?"
Onun doğru olmadığı doğru mu?,Bunun doğru olmadığı doğru mudur?
Ona nasıl ulaşabilirim?,Size nasıl ulaşabilirim?
Bu ne zaman varacak?,Hareket saati nedir?
Ne zaman ayrılıyorsunuz?,Ne zaman gittin?
Bir şey unutmadığından emin misin?,Bir şey kaçırmıyor musun?
Akşam yemeğini çoktan yedin mi?,Daha önce akşam yemeğinizi yediniz mi?
Kaçta geri geleceksin?,O ne zaman gelecek?
Bu kimin hatası?,Kimin suçu?
Ne zaman ayrılıyorsun?,Biz nerede başlayacağız?
Bir bardak daha bira alabilir miyim?,"Bir bira daha alabilir miyim, lütfen?"
Boston'dan ne zaman geri döneceksin?,Ne zaman Boston'dan geri döneceksin?
Bu Tişörtü istiyor musunuz?,Bu gömleği istiyor musun?
Dün niçin okulda yoktun?,Dün niçin okulda değildin?
Nereden bir bilet alabilirim?,Nereden bir harita alabilirim?
Onu ne için yapmak istiyorsun?,Niçin ona ihtiyacınız var?
"Kapıyı açık bırakır mısın, lütfen?",Kapıyı açık bırakır mısın?
Ne zaman gelirsin?,Nerede başlarım?
Nefes alıyor musun?,"O, nefes alıyor mu?"
Japon musunuz?,Sen Japon musun?
Her gün koşuyor musunuz?,Her gün koşmaya gider misin?
Neden herhangi biri Tom'a zarar vermek istiyor?,Neden biri Tom'u incitmek ister?
O işi ne zaman bitirebileceksin?,Ne kadar sürede görevi bitirebileceksin?
Ne zaman başlatırız?,Eve ne zaman dönüyorsun?
Nereden başlarız?,Ne zaman gittin?
Seyahat mi ediyorsun?,Seyahat eder misin?
Hangi koltuğu istiyorsun?,Nerede oturmak istiyorsun?
Gördüğümü görüyor musunuz?,Benim gördüğümü görüyor musun?
Nereden başlarız?,Eve ne zaman gideceksin?
Bu senin mi?,"Tom, sen misin?"
Ne zaman geri dönmesi bekleniliyor?,Ne zaman gidelim?
Tom'un sorunu nedir?,Tom ne taşıyor?
Onlar Tom'unkiler mi?,Şunlar Tom'un mu?
Favori kış etkinliğin nedir?,Kışın en sevdiğin hobi hangisidir?
Tom'un istediği bu mudur?,Tom'un istediği bu mu?
Tom'la ne yapacağız?,Tom'la ilgili ne yapacağız?
Karımı tanıyor musun?,Karımı biliyor musun?
Birbirinizi nasıl tanıdınız?,Nasıl oldu da onu tanıdın?
Saat kaçta gidiyoruz?,Ne zaman geliyorsun?
"O, işini seviyor mu?",İşini sever misin?
Maç ne zaman başlar?,Oyun saat kaçta başlar?
En sevdiğin TV programı nedir?,TV programlarından hangisini en çok seviyorsun?
Kaçta geri geleceksin?,Eve ne zaman geliyorsun?
Ona ne yapmak istiyorsun?,Onları nasıl istiyorsunuz?
Bana istasyona giden yolu gösterebilir misiniz?,Bana tren istasyonuna nasıl gideceğimi söyleyebilir misin?
Saatiniz şimdi saatin kaç olduğunu söylüyor?,Saatinde saat kaç?
Onu nasıl tanıdın?,Nasıl oldu da onu tanıdın?
Ne zaman eve döneceksin?,Saat kaçta geliyorsun?
Senin kıyafetlerin nerede?,Giysilerin nerede?
O kimin bardağı?,Bu kimin bardağı?
Niçin onu yapmadın?,Onu niçin yapmadın?
Numaranı alabilir miyim?,Bana telefon numaranı verebilir misin?
En sevdiğin sebze hangisi?,Hangi sebzeleri seviyorsun?
Yeni misiniz?,Onlar yeni mi?
İyi görünüyor muyum?,"Tuhaf, değil mi?"
Bir fincan daha çay ister misin?,"O, kahve mi içiyor?"
Senin onu sevdiğini o biliyor mu?,Onu sevdiğini biliyor mu?
Bunlar yenilebilir mi?,Bu şey yenilebilir mi?
O güzel değil mi?,O sevimli değil mi?
Bu patika nereye çıkıyor?,Bu yol sizi nereye götürür?
Hangi sokakta?,Hangi cadde üzerinde?
İlk olarak nerede karşılaştınız?,Nasıl tanıştınız?
Bu ne tür bir oyun?,"O, ne tür bir oyundur?"
Ne zaman eve gidiyorsun?,Hangisiyle başlayayım?
Benim gördüğümü gördün mü?,Ne yaptığımı gördün mü?
Hâlâ uykulu musunuz?,Şu anda yorgun musun?
"Affedersiniz, o koltuk alınmış mı?",Bu yer hâlâ boş mu?
Bu kimin yaçınıdır?,Bu yaçın kimindir?
Erkek kardeşin nerede?,Kız kardeşin nerede?
Bu yüzük ne eder?,Bu yüzük ne kadar değer?
Tavuğu tattınız mı?,Tavuğun tadına baktınız mı?
Çalışma saatleriniz nasıl?,Mesai saatlerin ne?
Bana ne zaman ödenecek?,Ne zaman ödeme alırım?
Bu ne zaman varacak?,Ne zaman geri döndün?
Kayboldun mu?,Kayıp kişiler misiniz?
Ne zaman geri dönmesi bekleniliyor?,"O, tekrar ne zaman eve gelecek?"
Tom'un bir arkadaşı mısın?,"Tom senin bir arkadaşın, değil mi?"
TV programlarından hangisini en çok seviyorsun?,En çok hangi drama dizisini seviyorsun?
Sana bir taksi tutayım mı?,Size bir taksi çağırmamı ister misiniz?
Bu kuralları koyan kim?,Bu kuralları kim yaptı?
Lütfen cep telefonu numaranın ne olduğunu bana söyler misin?,Bana telefon numaranı verir misin?
Dün neden gelemedin?,Senin dün buraya gelmeni ne engelledi?
Ne öğrenmek istiyorsun?,Sana ne tür bilgi gerekiyor?
Neden bana cevap vermiyorsun?,Niçin cevap vermiyorsun?
Amerika'da hiç bulundun mu?,Hiç ABD'de bulundun mu?
O bunu niçin yaptı?,"O, niçin onu yaptı?"
"Bu klübün canlı bir grubu mu var, yoksa bir DJ var mıdır?",Bu kulüpte canlı bir orkestra ya da bir DJ var mı?
Satrancı nasıl oynayacağını biliyor musun?,Satranç oynamayı biliyor musun?
Bir şey istiyor musunuz?,İstediğin bir şey var mı?
Grup lideri kim?,Grubun lideri kim?
Beni tren istasyonuna götürür müsün?,Beni istasyona götürür müsün?
Neden bana önceden söylemedin?,Neden daha önce bir şey söylemedin?
O araba Jamal'e mi ait?,O araba Jamal'a mı ait?
Bunu kim boyadı?,Bunu kim başlattı?
Onlardan hangisi benim?,Hangisi benimki?
Mürekkeple yazmak zorunda mıyım?,Mürekkep kullanmak zorunda mıyım?
Hiç rüyanda boşaldın mı?,Hiç rüyalandın mı?
Çocuklarımız nerede?,Kız nerede?
Bu küçük bir erkek çocuğu mu yoksa küçük bir kız çocuğumu?,"O, bir erkek mi yoksa bir kız mı?"
Gözlerinle ilgili yanlış bir şey var mı?,Gözlerinde bir sorun mu var?
O senin erkek arkadaşın mı?,"O, senin bir arkadaşın mı?"
Beni affeder misiniz?,Beni affedebilir misiniz?
Bugün için planın nedir?,Bugün ne yapıyorsun?
Sağlık sigortan var mı?,Sağlık sigortanız var mı?
Çorba kaselerin var mı?,Çorba tabağın var mı?
Işıkları ne zaman kapattın?,Sokağa çıkma yasağın ne zaman?
"Bu sadece 15 dakika sürer, değil mi?","Sadece 15 dakika sürüyor, değil mi?"
Neredeydik?,Ne hakkında konuşuyordum?
Saatiniz kaçı gösteriyor?,Senin saatinde saat kaç?
Sen bir vejetaryen misin?,Vejetaryen misiniz?
Nereye gideceğini nereden biliyorsun?,Nereye gidileceğini nereden biliyorsun?
Radyoyu açsam rahatsız olur musun?,Radyoyu açabilir miyim?
Arabanızı ödünç alabilir miyim?,Arabanı kullanmamın bir sakıncası var mı?
Tom'un neyi var?,Tom'un nesi var?
Bu araba size mi ait?,Bu araba sana mı ait?
Tom terk mi edildi?,Tom terk edildi mi?
Tom'un ne yapmasını istiyorsun?,Tom'dan ne istiyorsun?
Eve ne zaman gideceksin?,Ne zaman geleceksin?
Ne kadar zamanımız kaldı?,Ne kadar süredir sahibiz?
O ne zaman başlayacak?,Ne zaman geliyorsun?
En sevdiğiniz hangisi?,Ne tercih ediyorsun?
Ne zaman gidelim?,Ne zaman eve döneceksin?
Kyota'da bulundun mu?,Daha önce Kyoto' yu ziyaret etti mi?
Hava ne alemde?,Hava nasıl?
Sana göre ben kimim?,Sen beni ne sanıyorsun?
O geç gelirse ne yapmalıyız?,Kazara geç kalırsa ne yapmalıyız?
Akşam yemeği ne zaman servis edilecek?,Akşam yemeği ne zaman?
O sizin mi?,Bu Tom mu?
Kimi daha çok seviyorsunuz?,Ne tercih ediyorsun?
Ne zaman geri geliyorsun?,Hareket saati nedir?
O ne zaman doğdu?,Ne zaman doğdun?
Bu kimin konteyneri?,Bu kimin beslenme çantası?
O ne zaman varır?,Nerede başlarım?
Kahvaltı için buluşmamıza ne dersin?,Beraber kahvaltı edelim mi?
Ne zaman geri geleceksin?,Saat kaçta eve gidersin?
Bu ne zaman varacak?,Ne zaman gidelim?
Bugün ne yapacaksın?,Bugün için planın nedir?
Gazeteyi okumayı bitirdin mi?,Gazete ile işin bitti mi?
Ne ile ilgileniyorsunuz?,Ne öğrenmek istersin?
Şartlar nedir?,Koşullar nelerdir?
Samimi olmadığımı mı düşünüyorsun?,Sence samimi değil miyim?
Gerçekten demek istediğin bu mudur?,Gerçekten öyle mi düşünüyorsun?
Hâlâ uykun yok mu?,"O, uyuyor mu?"
"Tom bir pasaklı tip, değil mi?","Tom düzensiz, değil mi?"
"O, eve ne zaman dönecek?",Saat kaçta gidiyoruz?
Niçin bana telefon etmedin?,Neden beni çağırmadınız?
Ne zaman geri geliyor olacaksınız?,Ne zaman geri geliyorsun?
Siz beyler benim hakkımda mı konuşuyorsunuz?,Bana atıfta bulunuyor musun?
Hiç yabancı bir ülkede bulundun mu?,Hiç yabancı bir ülkeyi ziyaret ettin mi?
Ne zaman eve döneceksin?,Ne zaman gidiyoruz?
Yumurtaların maliyeti nedir?,Yumurtalar ne kadar?
O ne zaman varır?,Biz ne zaman başlarız?
Biz biraz dinlenelim mi?,"Bir mola verelim, değil mi?"
Bu oyunu hatırlayabiliyor musun?,Bu oyunu hatırlıyor musun?
Biz ne zaman başlarız?,Eve ne zaman döneceksin?
Bay Davis Japonya'ya İngilizce öğretmek için mi geldi?,Bay Davis İngilizce öğretmek için Japonya'ya geldi mi?
Güzel bir gezi miydi?,Gezi iyi gitti mi?
Akşam yemeği ne zaman?,Öğle yemeğini ne zaman yiyorsun?
Ne zaman başlatırız?,Saat kaçta çıkıyoruz?
Neden sen gelmedin?,Neden gelmedin?
Neden Almanya'ya gitmedin?,Neden Almanya'ya gitmedi?
Bana biraz dikkatinizi verebilir misiniz?,Biraz dikkatinizi çekebilir miyim?
Neden arkadaşım bir geri zekalı?,Neden erkek kardeşim aptal?
"O, eve ne zaman dönecek?",Ben nereye başlarım?
Ben sesi nasıl düzeltebilirim?,Sesi nasıl ayarlayacağımı bana söyleyebilir misiniz?
Gürültüye nasıl katlanıyorsunuz?,Sese nasıl dayanıyorsun?
Bu sizin telefonunuz mu?,Bu senin telefonun mu?
Bana bankaya giden yolu gösterir misiniz?,Bana bankaya giden yolu belirtebilir misiniz?
O yarayı nasıl aldın?,Bu yarayı nerede aldın?
Ne zaman başlatırız?,Eve ne zaman döneceksin?
Nereye park edebilirim?,Nereye park etmeliyim?
Onlar bir şey buldu mu?,Bir şey öğrendin mi?
Avustralya'ya ne zaman vardın?,Avustralya'ya ne zaman geldin?
Soyadın nasıl yazılır?,Soyadınızın yazılışı nasıl?
Nerede kalmayı planlıyorsun?,Nerede kalmayı planlıyorsunuz?
Kolayı mı ya da Pepsiyi mi tercih edersiniz?,"Hangisini beğeniyorsun, Coca Cola mı yoksa Pepsi mi?"
Ne zaman başlarız?,Saat kaçta eve gidersin?
Tom'a ne diyeceğim?,Tom'a ne söylerim?
Onu hiç gördünüz mü?,Zaten onunla tanışıyormuydun?
Bu hileli bir soru mu?,O bir dalavere soru mu?
Ne tür yerlerden hoşlanırsın?,Hangi koltukları istiyorsunuz?
Bunu Fransızcaya çevirmeme yardım edebilir miydin?,Bunu Fransızcaya çevirmeme yardımcı olabilir misin?
Neden bu kadar geç bir saatte yürüyerek gittiniz?,Neden geç bir zamanda yürüyüş yaptın?
Tom neden onu yapmalı?,Tom onu neden yapmak zorunda?
Benim partiye katılmam gerekli midir?,Partiye gitmeli miyim?
Ne kadar istersin?,Kaç tane istersiniz?
"O, şimdi nereye koşuyor?",O şimdi nereyi işletiyor?
"Bu kimin arabası, biliyor musun?","Bu araba kimin, biliyor musunuz?"
Onu sevdiğini biliyor mu?,Senin onu sevdiğini o biliyor mu?
O ne zaman varır?,Ne zaman gittin?
Fransızca konuşamadığını mı söymek istiyorsun?,Fransızca konuşamadığını mı demek istiyorsun?
Onu nasıl unutabilirim?,Nasıl unutmuş olabilirim?
Sen kendini acıttın mı?,Yaralandın mı?
Beni beğeniyor musun?,Beni sever mi?
Onu düşündün mü?,O konuda düşündün mü?
Bu gizemin nasıl çözüleceğini biliyor musun?,Bulmacayı çözebilir misin?
Bu küçük bir erkek çocuğu mu yoksa küçük bir kız çocuğumu?,O bir kız mı yoksa oğlan mı?
"İşini beğendin mi, Tom?","İşini nasıl buldun, Tom?"
Bu benim hatam mı?,Bu benim suçum mu?
